key,en,es,ru,ko,ja,it,de,fr,nl,zh,ar,ur
orderExpectedSDTitle,Expected Shipment Date:,Fecha de envío esperada:,Ожидаемая дата отгрузки:,예상 배송 날짜 :,予想出荷日：,Data di spedizione prevista:,Erwarteter Versanddatum:,Date d'expédition attendue:,Verwachte verzenddatum:,预期发货日期：,تاريخ الشحن المتوقع:,متوقع شپمنٹ کی تاریخ:
image,Image,Imagen,Изображение,영상,画像,Immagine,Bild,Image,Afbeelding,图片,صورة,تصویر
cashOnDelivery,Cash On Delivery,Efectivo en la entrega,Оплата при доставке,배송 현금,代金引換,Pagamento alla consegna,Barzahlung bei Lieferung,Paiement à la livraison,Contant geld bij levering,货到付款,الدفع عند الاستلام,ادائیگی وصولی کے وقت
trackYourOrder,Track Your Order,Rastrea tu orden,Отследить ваш заказ,주문을 추적하십시오,ご注文を追跡します,Rintraccia il tuo ordine,Verfolgen Sie Ihre Bestellung,Suivre votre commande,Volg je bestelling,追踪您的订单,أتبع طلبك,اپنے آرڈر کو ٹریک کریں
myAccountContain_suv,"You aren't subscribed to
our newsletter.","No estás suscrito a
Nuestro boletín.","Вы не подписаны на
Наша информационный бюллетень.","당신은 구독하지 않습니다
우리의 뉴스 레터.","あなたは購読されていません
私たちのニュースレター。","Non sei iscritto a
La nostra newsletter.","Sie sind nicht abonniert
Unser Newsletter.","Vous n'êtes pas abonné à
notre newsletter.","U bent niet geabonneerd op
Onze nieuwsbrief.","您没有订阅
我们的新闻通讯。","أنت لا تشترك في
نشرتنا الإخبارية.","آپ کو سبسکرائب نہیں کیا جاتا ہے
ہمارا نیوز لیٹر۔"
contactUs,Contact Us,Contáctenos,Свяжитесь с нами,문의하기,お問い合わせ,Contattaci,Kontaktiere uns,Nous contacter,Neem contact met ons op,联系我们,اتصل بنا,ہم سے رابطہ کریں
createNewCustomerAccountText,Create New Customer Account,Crear una nueva cuenta de cliente,Создать новую учетную запись клиента,새 고객 계정을 만듭니다,新しい顧客アカウントを作成します,Crea nuovo account cliente,Neues Kundenkonto erstellen,Créer un nouveau compte client,Maak een nieuw klantaccount aan,创建新的客户帐户,إنشاء حساب عميل جديد,نیا کسٹمر اکاؤنٹ بنائیں
emailAddressText_suv,Email Address,Dirección de correo electrónico,Адрес электронной почты,이메일 주소,電子メールアドレス,Indirizzo e-mail,E-Mail-Addresse,Adresse e-mail,E-mailadres,电子邮件地址,عنوان البريد الالكترونى,ای میل اڈریس
confirmEmailAddressText_suv,Confirm Email Address,Confirmar el correo,Подтвердите адрес электронной почты,이메일 주소를 확인하십시오,メールアドレスを確認,Conferma l'indirizzo e-mail,e-Mail-Adresse bestätigen,Confirmez votre adresse email,e-mailadres bevestigen,确认电邮地址,تأكيد عنوان البريد,ای میل ایڈریس کی تصدیق کریں
confirmPasswordText,Confirm Password,Confirmar contraseña,Подтвердить Пароль,비밀번호 확인,パスワードを認証する,Conferma password,Passwort bestätigen,Confirmez le mot de passe,bevestig wachtwoord,确认密码,تأكيد كلمة المرور,پاس ورڈ کی تصدیق کریں
dateOfBirthText,Date of Birth,Fecha de nacimiento,Дата рождения,생일,生年月日,Data di nascita,Geburtsdatum,Date de naissance,Geboortedatum,出生日期,تاريخ الولادة,پیدائش کی تاریخ
marriageAnniversaryText,Marriage Anniversary,Aniversario de boda,Годовщина свадьбы,결혼 기념일,結婚記念日,Anniversario di matrimonio,Hochzeitstag,Anniversaire de mariage,Trouwdag,结婚周年,الذكرى السنوية,شادی کی سالگرہ
signUpForNewsLetterText,Sign Up For Newsletter,Regístrese en el boletín,Подписаться на рассылку,뉴스 레터에 가입하십시오,ニュースレターにサインアップしてください,Iscriviti alla Newsletter,Anmeldung für Newsletter,S'inscrire aux Newsletters,Aanmelden voor Nieuwsbrief,注册新闻通讯,الاشتراك في النشرة الإخبارية,نیوز لیٹر کے لئے سائن اپ کریں
registerWithFacebookText,Register With Facebook,Regístrese en Facebook,Зарегистрируйтесь в Facebook,Facebook에 등록하십시오,Facebookに登録してください,Registrati con Facebook,Registrieren Sie sich bei Facebook,Inscrivez-vous avec Facebook,Registreer je bij Facebook,向Facebook注册,سجل في Facebook,فیس بک کے ساتھ رجسٹر ہوں
createAnAccountText,Create An Account,Crea una cuenta,Завести аккаунт,계정을 만듭니다,アカウントを作成する,Creare un account,Ein Konto erstellen,Créer un compte,Account aanmaken,创建一个帐户,انشئ حساب,کھاتا کھولیں
loginWithFacebookText,Login With Facebook,Iniciar sesión con Facebook,Войти с Facebook,Facebook으로 로그인하십시오,Facebookでログインします,Fai il login con facebook,Mit Facebook einloggen,Se connecter avec Facebook,Inloggen met Facebook,使用Facebook登录,تسجيل الدخول باستخدام الفيسبوك,فیس بک لاگ ان کریں
suvAndNatHeaderText,"FIND IT CHEAPER, WE'LL BEAT THAT PRICE","Encuéntralo más barato, venceremos ese precio","Найди его дешевле, мы победим эту цену",더 저렴한 것을 찾으십시오. 우리는 그 가격을 이길 것입니다,安く見つけて、その価格を打ち負かします,"Trovalo più economico, batteremo quel prezzo","Finden Sie es billiger, wir werden diesen Preis übertreffen","Trouvez-le moins cher, nous allons battre ce prix","Vind het goedkoper, we zullen die prijs verslaan",找到便宜的，我们会击败这个价格,ابحث عنه أرخص ، وسنقوم بالتغلب على هذا السعر,اسے سستا تلاش کریں ، ہم اس قیمت کو شکست دیں گے
affiliateProgramTitleText_suv,SUV&NAT AFFILIATE PROGRAM,Programa de afiliados de SUV y NAT,Партнерская программа внедорожника и NAT,SUV & NAT 제휴 프로그램,SUV＆NATアフィリエイトプログラム,Programma di affiliazione SUV e NAT,SUV & NAT Affiliate -Programm,Programme d'affiliation SUV et NAT,SUV & NAT Affiliate -programma,SUV和NAT会员计划,برنامج SUV & NAT التابع,ایس یو وی اور نیٹ سے وابستہ پروگرام
whoAreWeLookingDescriptionOneText_suv,"Do you have a fashion-forward, luxury oriented website, blog, social media profile that is trend savvy with an international outlook? Is your focus fashion, lifestyle, beauty and design? If so, we are looking for you!

Join our global Affiliate Program and you will have the opportunity to earn a commission every time your visitors purchase from SUV&NAT.","¿Tiene un sitio web, blog, perfil de redes sociales de moda y orientación de lujo que es un experto en tendencias con una perspectiva internacional? ¿Es tu enfoque de moda, estilo de vida, belleza y diseño? Si es así, ¡te estamos buscando a ti!

Únase a nuestro programa de afiliados globales y tendrá la oportunidad de ganar una comisión cada vez que sus visitantes compren a SUV & NAT.","У вас есть модный, ориентированный на роскошный веб-сайт, блог, профиль в социальных сетях, который является подкованным с международным перспективами? Ваша фокус мода, образ жизни, красота и дизайн? Если так, мы ищем тебя!

Присоединяйтесь к нашей глобальной партнерской программе, и у вас будет возможность зарабатывать комиссию каждый раз, когда ваши посетители покупают в SUV & NAT.","국제적인 전망으로 정통한 트렌드 인 패션 포워드, 럭셔리 지향적 웹 사이트, 블로그, 소셜 미디어 프로필이 있습니까? 초점 패션, 라이프 스타일, 아름다움 및 디자인입니까? 그렇다면 우리는 당신을 찾고 있습니다!

글로벌 제휴 프로그램에 가입하면 방문자가 SUV & NAT에서 구매할 때마다 커미션을받을 수 있습니다.","国際的な見通しでトレンドに精通している、流行の豪華なウェブサイト、ブログ、ソーシャルメディアプロファイルはありますか？あなたのフォーカスファッション、ライフスタイル、美しさ、デザインですか？もしそうなら、私たちはあなたを探しています！

グローバルアフィリエイトプログラムに参加すると、訪問者がSUV＆NATから購入するたびに手数料を獲得する機会があります。","Hai un sito Web di moda orientato alla moda, blog, profilo di social media che è esperto di tendenza con una prospettiva internazionale? Il tuo focus è la moda, lo stile di vita, la bellezza e il design? Se è così, ti stiamo cercando!

Unisciti al nostro programma di affiliazione globale e avrai l'opportunità di guadagnare una commissione ogni volta che i tuoi visitatori acquistano da SUV & NAT.","Haben Sie eine modische, luxuriöser Website, ein Blog und ein soziales Medienprofil, das mit einem internationalen Ausblick auf den Trend ist? Ist Ihre Fokus Mode, Lebensstil, Schönheit und Design? Wenn ja, suchen wir Sie!

Treten Sie an unserem globalen Partnerprogramm bei, und Sie haben die Möglichkeit, jedes Mal, wenn Ihre Besucher bei SUV & NAT kaufen, eine Provision zu erhalten.","Avez-vous un site Web de luxe et avant-gardiste, un blog, un profil de médias sociaux qui est averti des tendances avec une perspective internationale? Est-ce que votre mode de mise au point, le style de vie, la beauté et le design? Si oui, nous sommes à la recherche pour vous!

Rejoignez notre programme mondial d'affiliation et vous aurez la possibilité de gagner une commission chaque fois que vos visiteurs achètent auprès de SUV & NAT.","Heb je een modieuze, luxe georiënteerde website, blog, sociale media-profiel die trend savvy is met een internationale vooruitzichten? Is uw focusmode, levensstijl, schoonheid en ontwerp? Als dat zo is, zijn we op zoek naar u!

Word lid van ons Global Affiliate -programma en u krijgt de mogelijkheid om een ​​commissie te verdienen telkens wanneer uw bezoekers kopen bij SUV & NAT.","您是否有一个面向时尚的，奢侈的网站，博客，社交媒体资料，具有国际展望的趋势？您的重点时尚，生活方式，美丽和设计是吗？如果是这样，我们正在寻找您！

加入我们的全球会员计划，您将有机会每次从SUV＆NAT购买访问者时获得佣金。","هل لديك موقع ويب للأزياء المتجهة إلى الأمام ، والمدونة ، وملف تعريف التواصل الاجتماعي ، وهو أمر ذكي الاتجاه مع النظرة الدولية؟ هل التركيز على الأزياء وأسلوب الحياة والجمال والتصميم؟ إذا كان الأمر كذلك، ونحن نبحث لك!

انضم إلى برنامجنا التابع العالمي وستتاح لك الفرصة لكسب عمولة في كل مرة يشتري فيها زوارك من سيارات الدفع الرباعي و NAT.","کیا آپ کے پاس فیشن فارورڈ ، لگژری پر مبنی ویب سائٹ ، بلاگ ، سوشل میڈیا پروفائل ہے جو بین الاقوامی نقطہ نظر کے ساتھ رجحان پریمی ہے؟ کیا آپ کا فوکس فیشن ، طرز زندگی ، خوبصورتی اور ڈیزائن ہے؟ اگر ایسا ہے تو ، ہم آپ کی تلاش کر رہے ہیں!

ہمارے عالمی وابستہ پروگرام میں شامل ہوں اور جب بھی آپ کے زائرین ایس یو وی اور نیٹ سے خریداری کرتے ہیں تو آپ کو کمیشن حاصل کرنے کا موقع ملے گا۔"
promoteSoloQuestionText_suv,How can you promote SUV&NAT (as an affiliate)?,¿Cómo puede promover SUV & Nat (como afiliado)?,Как вы можете продвигать внедорожник и NAT (как филиал)?,SUV & NAT (계열사)를 어떻게 홍보 할 수 있습니까?,どのようにして（アフィリエイトとして）SUV＆NATを宣伝できますか？,Come puoi promuovere SUV & Nat (come affiliato)?,Wie können Sie SUV & Nat (als Partner) fördern?,Comment pouvez-vous promouvoir le SUV & NAT (en tant qu'affilié)?,Hoe kunt u SUV & NAT promoten (als een gelieerde onderneming)?,您如何推广SUV＆NAT（作为会员）？,كيف يمكنك الترويج لسيارات الدفع الرباعي و NAT (كشركة تابعة)؟,آپ ایس یو وی اور نیٹ (ایک وابستہ کی حیثیت سے) کو کس طرح فروغ دے سکتے ہیں؟
promoteSoloAnswerOneText_suv,Creating high-quality and engaging content that mirrors the style of SOLO,Crear contenido de alta calidad y atractivo que refleje el estilo de solo,"Создание высококачественного и привлекательного контента, который отражает стиль соло",솔로 스타일을 반영하는 고품질 및 매력적인 콘텐츠 생성,ソロのスタイルを反映する高品質で魅力的なコンテンツを作成する,Creazione di contenuti di alta qualità e coinvolgenti che rispecchiano lo stile di assolo,"Erstellen von hochwertigen und ansprechenden Inhalten, die den Stil von Solo widerspiegeln",Création de contenu de haute qualité et engageant qui reflète le style de solo,Het creëren van hoogwaardige en boeiende inhoud die de stijl van solo weerspiegelt,创建高质量和引人入胜的内容，以反映独奏的风格,إنشاء محتوى عالي الجودة وجذاب يعكس أسلوب منفردا,اعلی معیار اور دل چسپ مواد کی تشکیل جو سولو کے انداز کو آئینہ دار کرتی ہے
howApplyAnswerOneText_suv,"Email us the name and URL of your website, blog or social media profile and your main markets. We’ll review your site and get back to you with further information on how to join the affiliate program.

Please note that all applications are manually evaluated and processing may take up to 10 days.

If you feel your application has been wrongfully declined please contact affiliates@suv&nut.com and a member of the team will address your concerns.","Envíenos un correo electrónico con el nombre y la URL de su sitio web, blog o perfil de redes sociales y sus principales mercados. Revisaremos su sitio y le responderemos con más información sobre cómo unirse al programa de afiliados.

Tenga en cuenta que todas las aplicaciones se evalúan manualmente y el procesamiento puede llevar hasta 10 días.

Si cree que su solicitud ha sido rechazada injustamente, comuníquese con afiliates@suv&nut.com y un miembro del equipo abordará sus inquietudes.","Напишите нам имя и URL вашего веб -сайта, блогов или профиля в социальных сетях и ваши основные рынки. Мы рассмотрим ваш сайт и вернемся к вам с дополнительной информацией о том, как присоединиться к партнерской программе.

Обратите внимание, что все приложения оцениваются вручную, а обработка может занять до 10 дней.

Если вы чувствуете, что ваше заявление было неправомерно отклонено, пожалуйста, свяжитесь с Affiliates@suv&nut.com, и член команды рассмотрит ваши проблемы.","웹 사이트, 블로그 또는 소셜 미디어 프로필 및 주요 시장의 이름과 URL을 이메일로 보내주십시오. 귀하의 사이트를 검토하고 제휴 프로그램에 가입하는 방법에 대한 자세한 내용을 알려 드리겠습니다.

모든 응용 프로그램은 수동으로 평가되며 처리에는 최대 10 일이 걸릴 수 있습니다.

신청서가 잘못 거부되었다고 생각되면 istiliates@suv&nut.com으로 문의하십시오. 팀원이 귀하의 우려 사항을 해결할 것입니다.","あなたのウェブサイト、ブログ、ソーシャルメディアプロフィール、および主要な市場の名前とURLをメールで送信してください。アフィリエイトプログラムへの参加方法に関する詳細については、サイトを確認してご連絡いたします。

すべてのアプリケーションは手動で評価され、処理が最大10日かかる場合があることに注意してください。

アプリケーションが誤って拒否されていると感じた場合は、affiliates@suv&nut.comに連絡してください。チームのメンバーが懸念に対処します。","Inviaci un'e -mail il nome e l'URL del tuo sito Web, del blog o del profilo dei social media e dei tuoi mercati principali. Esamineremo il tuo sito e ti ritorneremo con ulteriori informazioni su come aderire al programma di affiliazione.

Si noti che tutte le applicazioni vengono valutate manualmente e l'elaborazione può richiedere fino a 10 giorni.

Se ritieni che la tua domanda sia stata ingiustamente diminuita, contatta gli affiliati@suv&nut.com e un membro del team affronterà le tue preoccupazioni.","Senden Sie uns den Namen und die URL Ihrer Website, Ihres Blogs oder Ihres Social -Media -Profils und Ihrer Hauptmärkte per E -Mail. Wir werden Ihre Website überprüfen und sich mit weiteren Informationen zum Beitritt zum Partnerprogramm bei Ihnen melden.

Bitte beachten Sie, dass alle Anwendungen manuell bewertet werden und die Verarbeitung bis zu 10 Tage dauern kann.

Wenn Sie der Meinung sind, dass Ihre Bewerbung zu Unrecht abgelehnt wurde, wenden Sie sich bitte an affiliates@suv&nut.com, und ein Mitglied des Teams wird Ihre Bedenken angehen.","Envoyez-nous un e-mail le nom et l'URL de votre site Web, blog ou profil de médias sociaux et vos principaux marchés. Nous allons passer en revue votre site et vous répondre avec de plus amples informations sur la façon de rejoindre le programme d'affiliation.

Veuillez noter que toutes les applications sont évaluées manuellement et que le traitement peut prendre jusqu'à 10 jours.

Si vous pensez que votre demande a été injustement refusée, veuillez contacter affiliées@suv&nut.com et un membre de l'équipe répondra à vos préoccupations.","E -mail ons de naam en URL van uw website, blog- of sociale media -profiel en uw belangrijkste markten. We zullen uw site bekijken en contact met u opnemen met meer informatie over hoe u lid kunt worden van het affiliate -programma.

Houd er rekening mee dat alle toepassingen handmatig worden geëvalueerd en de verwerking tot 10 dagen kan duren.

Als u denkt dat uw aanvraag ten onrechte is geweigerd, neemt u contact op met affiliates@suv&nut.com en een lid van het team zal uw zorgen aanpakken.","通过电子邮件将您的网站，博客或社交媒体资料以及您的主要市场的名称和URL发送电子邮件。我们将查看您的网站，并与您联系，以获取有关如何加入会员计划的更多信息。

请注意，所有申请均已手动评估，处理可能需要长达10天。

如果您认为您的申请已被错误拒绝，请联系affiliates@suv&nut.com，团队成员将解决您的疑虑。","أرسل لنا اسم عنوان URL لموقع الويب الخاص بك أو المدونة أو ملف تعريف الوسائط الاجتماعية والأسواق الرئيسية الخاصة بك. سنقوم بمراجعة موقعك ونعود إليك بمزيد من المعلومات حول كيفية الانضمام إلى البرنامج التابع.

يرجى ملاحظة أن جميع التطبيقات يتم تقييمها يدويًا وأن المعالجة قد تستغرق ما يصل إلى 10 أيام.

إذا شعرت أن طلبك قد تم رفضه بشكل خاطئ ، فيرجى الاتصال بـ Affiliates@suv&nut.com وسيعالج أحد أعضاء الفريق مخاوفك.","ہمیں اپنی ویب سائٹ ، بلاگ یا سوشل میڈیا پروفائل اور اپنے اہم بازاروں کا نام اور یو آر ایل ای میل کریں۔ ہم آپ کی سائٹ کا جائزہ لیں گے اور ملحق پروگرام میں شامل ہونے کے بارے میں مزید معلومات کے ساتھ آپ کے پاس واپس جائیں گے۔

براہ کرم نوٹ کریں کہ تمام درخواستوں کا دستی طور پر جائزہ لیا جاتا ہے اور پروسیسنگ میں 10 دن لگ سکتے ہیں۔

اگر آپ کو لگتا ہے کہ آپ کی درخواست کو غلط طریقے سے مسترد کردیا گیا ہے تو براہ کرم affiliates@suv&nut.com سے رابطہ کریں اور ٹیم کا ایک ممبر آپ کے خدشات کو دور کرے گا۔"
referFriendMyAccountText_suv,Refer Friend,Referir amigo,Обратитесь к другу,친구를 참조하십시오,友達を参照してください,Fare riferimento all'amico,Freund verweisen,Référer un ami,Verwijs vriend,推荐朋友,إحالة الصديق,دوست سے رجوع کریں
phoneText,Phone,Teléfono,Телефон,핸드폰,電話,Telefono,Telefon,Téléphoner,Telefoon,电话,هاتف,فون
additionalAdressEntriesText,Additional address entries,Entradas de dirección adicionales,Дополнительные записи адреса,추가 주소 항목,追加のアドレスエントリ,Voci di indirizzo aggiuntive,Zusätzliche Adresseinträge,Entrées d'adresse supplémentaires,Aanvullende adresitems,其他地址条目,إدخالات العناوين الإضافية,اضافی ایڈریس اندراجات
addNewText,Add New,Agregar nuevo,Добавить новое,새로운 걸 더하다,新しく追加する,Aggiungere nuova,Neue hinzufügen,Ajouter un nouveau,Voeg nieuw toe,添新,اضف جديد,نیا شامل کریں
findCheaperText,"FIND IT CHEAPER, WE’LL BEAT THAT PRICE.","Encuéntralo más barato, venceremos ese precio.","Найдите это дешевле, мы победим эту цену.","더 저렴하다면, 우리는 그 가격을 이길 것입니다.",安く見つけて、その価格を打ち負かします。,"Trovalo più economico, batteremo quel prezzo.","Finden Sie es billiger, wir werden diesen Preis übertreffen.","Trouvez-le moins cher, nous allons battre ce prix.","Vind het goedkoper, we zullen die prijs verslaan.",找到便宜的，我们将超过这个价格。,ابحث عن الأمر أرخص ، وسوف نغلب على هذا السعر.,اسے سستا تلاش کریں ، ہم اس قیمت کو شکست دیں گے۔
createCheckoutText,You can create an account after checkout.,Puede crear una cuenta después del pago.,Вы можете создать учетную запись после оформления заказа.,결제 후 계정을 만들 수 있습니다.,チェックアウト後にアカウントを作成できます。,È possibile creare un account dopo il checkout.,Sie können nach dem Auschecken ein Konto erstellen.,Vous pouvez créer un compte après le paiement.,U kunt na het afrekenen een account aanmaken.,您可以在结帐后创建一个帐户。,يمكنك إنشاء حساب بعد الخروج.,آپ چیک آؤٹ کے بعد ایک اکاؤنٹ بنا سکتے ہیں۔
stLineText,Street Address: Line,Dirección de la calle: línea,Уличный адрес: линия,거리 주소 : 라인,道路住所：行,Indirizzo di strada: linea,Straßenadresse: Linie,Adresse de la rue: ligne,Straatadres: lijn,街道地址：线路,عنوان الشارع: الخط,گلی کا پتہ: لائن
regionText,"Please select a region, state or province","Seleccione una región, estado o provincia","Пожалуйста, выберите регион, штат или провинция","지역, 주 또는 지방을 선택하십시오",地域、州、または州を選択してください,"Seleziona una regione, uno stato o una provincia","Bitte wählen Sie eine Region, einen Staat oder eine Provinz aus","Veuillez sélectionner une région, un état ou une province","Selecteer een regio, staat of provincie",请选择一个地区，州或省,الرجاء اختيار منطقة أو ولاية أو مقاطعة,براہ کرم ایک علاقہ ، ریاست یا صوبہ منتخب کریں
zipCodeText,Zip/Postal Code,Código postal/postal,Zip/почтовый код,지퍼/우편 번호,zip/郵便番号,Zip / Codice postale,Postleitzahl/Postleitzahl,Zip / code postal,Zip/postcode,邮编/邮政编码,الرمز البريدي / الرمز البريدي,زپ / پوسٹل کوڈ
news1LetterText,NEWSLETTER SUBSCRIPTIONS,SUSCRIPCIONES A LOS BOLETINES,Подписки на информационные бюллетени,뉴스 레터 구독,ニュースレターサブスクリプション,Abbonamenti a newsletter,NEWSLETTER-ABOS,ABONNEMENT À LA NEWSLETTER,NIEUWSBRIEF ABONNEMENTEN,新闻通讯订阅,اشتراك الرسائل الإخبارية,نیوز لیٹر سبسکرپشنز
fillTheFormText_suv,"Please fill in the form below before 
starting the chat.","Complete el siguiente formulario antes
comenzando el chat.","Пожалуйста, заполните форму ниже перед
Запуск чата.","전에 아래 양식을 작성하십시오
채팅 시작.","以下のフォームに記入してください
チャットを開始します。","Si prega di compilare il modulo sottostante prima
Avvio della chat.","Bitte füllen Sie das folgende Formular vorher aus
den Chat starten.","Veuillez remplir le formulaire ci-dessous avant
Commencer le chat.","Vul het onderstaande formulier eerder in
De chat beginnen.","请填写以下表格
开始聊天。","يرجى ملء النموذج أدناه من قبل
بدء الدردشة.","براہ کرم پہلے نیچے دیئے گئے فارم کو پُر کریں
چیٹ شروع کرنا۔"
typeOfEnquiryText_suv,Type Of Enquiry,Tipo de consulta,Тип запроса,문의 유형,問い合わせの種類,Tipo di indagine,Art der Anfrage,Type d'enquête,Type onderzoek,查询类型,نوع الاستفسار,انکوائری کی قسم
surNameText_suv,Surname,Apellido,Фамилия,성,姓,Cognome,Familien-oder Nachname,Nom de famille,Achternaam,姓,اسم العائلة,کنیت
confirmEmailText,Confirm Email,Confirmar correo electrónico,подтвердить Email,이메일 확인,Eメール確認,Conferma email,Bestätigungs-E-Mail,Confirmez votre email,Bevestig Email,确认电子邮件,.تأكيد عنوان البريد الإلكتروني,ای میل کی توثیق کریں
subjectText_suv,Subject,Tema,Предмет,주제,主題,Materia,Thema,Matière,Onderwerp,主题,موضوعات,مضمون
findinCheaperText,"FIND IT CHEAPER, WE’LL BEAT THAT PRICE.","Encuéntralo más barato, venceremos ese precio.","Найдите это дешевле, мы победим эту цену.","더 저렴하다면, 우리는 그 가격을 이길 것입니다.",安く見つけて、その価格を打ち負かします。,"Trovalo più economico, batteremo quel prezzo.","Finden Sie es billiger, wir werden diesen Preis übertreffen.","Trouvez-le moins cher, nous allons battre ce prix.","Vind het goedkoper, we zullen die prijs verslaan.",找到便宜的，我们将超过这个价格。,ابحث عن الأمر أرخص ، وسوف نغلب على هذا السعر.,اسے سستا تلاش کریں ، ہم اس قیمت کو شکست دیں گے۔
unitedKingdomText,UNITED KINGDOM,REINO UNIDO,СОЕДИНЕННОЕ КОРОЛЕВСТВО,영국,イギリス,REGNO UNITO,VEREINIGTES KÖNIGREICH,ROYAUME-UNI,VERENIGD KONINKRIJK,英国,المملكة المتحدة,متحدہ سلطنت یونائیٹڈ کنگڈم
englishText,ENGLISH,INGLÉS,АНГЛИЙСКИЙ,영어,英語,INGLESE,ENGLISCH,ANGLAIS,ENGELS,英语,الإنجليزية,انگریزی
findBrandsText,Find Brands,Encuentra marcas,Найти бренды,브랜드를 찾으십시오,ブランドを見つけます,Trova marchi,Marken finden,Trouver des marques,Zoek merken,查找品牌,العثور على العلامات التجارية,برانڈز تلاش کریں
findItText,"FIND IT CHEAPER, WE'LL BEAT THAT PRICE.","Encuéntralo más barato, venceremos ese precio.","Найдите это дешевле, мы победим эту цену.",더 저렴한 것을 찾으십시오. 우리는 그 가격을 이길 것입니다.,安く見つけて、その価格を打ち負かします。,"Trovalo più economico, batteremo quel prezzo.","Finde es billiger, wir werden diesen Preis übertreffen.","Trouvez-le moins cher, nous allons battre ce prix.","Vind het goedkoper, we zullen die prijs verslaan.",找到便宜的，我们将超过这个价格。,ابحث عن الأمر أرخص ، وسوف نغلب على هذا السعر.,اسے سستا تلاش کریں ، ہم اس قیمت کو شکست دیں گے۔
shippingCartText,Shopping Cart,Carrito de compras,Корзина покупателя,쇼핑 카트,ショッピングカート,Carrello della spesa,Einkaufswagen,Panier,Winkelwagen,购物车,عربة التسوق,خریداری کی ٹوکری
summaryText,Summary,Resumen,Резюме,요약,概要,Riepilogo,Zusammenfassung,Sommaire,Overzicht,概括,ملخص,خلاصہ
updateText,Update Cart,Actualización de la compra,Обновить корзину,카트 업데이트,カートの更新,Aggiorna carrello,Cart aktualisieren,Mise à jour panier,Update kar,更新购物车,تحديث العربة,اپ ڈیٹ کارٹ
enterDiscountText,Enter discount code,Introduzca el código de descuento,Введите код скидки,할인 코드를 입력하십시오,割引コードを入力します,Immettere il codice di sconto,Geben Sie den Rabattcode ein,Entrez le code de réduction,Voer kortingscode in,输入折扣代码,أدخل رمز الخصم,ڈسکاؤنٹ کوڈ درج کریں
subtotalText,Subtotal,Total parcial,Промежуточный итог,소계,小計,totale parziale,Zwischensumme,Total,Subtotaal,小计,نطاق فرعي,subtotal
orderText,Order Total,Total del pedido,Весь заказ,순서 총,注文合計,Ordine totale,Auftragssumme,Total de la commande,totale bestelling,合计订单,الطلب الكلي,ٹوٹل آرڈر
forgetPassword1,Enter email address to receive a password reset link.,Ingrese la dirección de correo electrónico para recibir un enlace de restablecimiento de contraseña.,"Введите адрес электронной почты, чтобы получить ссылку сброса пароля.",비밀번호 재설정 링크를 받으려면 이메일 주소를 입력하십시오.,電子メールアドレスを入力して、パスワードリセットリンクを受信します。,Immettere l'indirizzo e -mail per ricevere un link reimpostazione della password.,"Geben Sie eine E -Mail -Adresse ein, um einen Link zum Zurücksetzen des Kennworts zu erhalten.",Entrez l'adresse e-mail pour recevoir un lien de réinitialisation du mot de passe.,Voer een e -mailadres in om een ​​links -reset -link te ontvangen.,输入电子邮件地址以接收密码重置链接。,أدخل عنوان البريد الإلكتروني لتلقي رابط إعادة تعيين كلمة المرور.,پاس ورڈ ری سیٹ لنک موصول کرنے کے لئے ای میل ایڈریس درج کریں۔
forgetPasswordContain_suv,If There Is A Account Associated With (Test @suvandnat.com) We Will Send You A Email With The Instructions To Reset Your Password.If You Need Any Further Assistance Pls,"Si hay una cuenta asociada con (test @suvandnat.com), le enviaremos un correo electrónico con las instrucciones para restablecer su contraseña. Si necesita más asistencia por favor.","Если есть учетная запись, связанная с (test @suvandnat.com), мы отправим вам электронное письмо с инструкциями для сброса вашего пароля. Если вам нужна дополнительная помощь, пожалуйста",(test @suvandnat.com)와 관련된 계정이있는 경우 비밀번호를 재설정하기위한 지침이있는 이메일을 보내드립니다. 추가 지원 Pls가 필요한 경우,（test @suvandnat.com）に関連付けられているアカウントがある場合は、パスワードをリセットするための指示を含むメールを送信します。,"Se è associato un account (test @suvandnat.com), ti invieremo un'e -mail con le istruzioni per reimpostare la password. Se hai bisogno di ulteriori assistenza","Wenn ein Konto zugeordnet ist (testen Sie @suvandnat.com), senden wir Ihnen eine E -Mail mit den Anweisungen zum Zurücksetzen Ihres Passworts. Wenn Sie weitere Unterstützung benötigen","S'il y a un compte associé à (test @ suvandnat.com), nous vous enverrons un e-mail avec les instructions pour réinitialiser votre mot de passe.","Als er een account is gekoppeld aan (test @suvandnat.com), sturen we u een e -mail met de instructies om uw wachtwoord te resetten. Als u verdere hulp nodig heeft",如果有一个与（test @suvandnat.com）关联的帐户，我们将向您发送带有指令的电子邮件以重置您的密码。如果您需要进一步的帮助，请,إذا كان هناك حساب مرتبط بـ (Test @suvandnat.com) ، فسنرسل لك بريدًا إلكترونيًا مع الإرشادات لإعادة تعيين كلمة المرور الخاصة بك. إذا كنت بحاجة إلى أي مساعدة أخرى.,اگر (ٹیسٹ @suvandnat.com) سے وابستہ کوئی اکاؤنٹ ہے تو ہم آپ کو اپنے پاس ورڈ کو دوبارہ ترتیب دینے کے لئے ہدایات کے ساتھ ایک ای میل بھیجیں گے۔ اگر آپ کو مزید مدد کی ضرورت ہو تو
